task,representation,model,input_tokens,output_tokens,cost_usd,latency_s,parse_ok,reported,truth,count_error,matched,precision,recall,f1,rule_accuracy,fix_type,fix_validity
m1_multi_006,json,mock_perfect,356,106,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_006,clustered,mock_perfect,409,106,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_006,signature,mock_perfect,439,106,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_007,raw,mock_perfect,49660,234,0.0,0.026,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_007,json,mock_perfect,321,234,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_007,clustered,mock_perfect,497,234,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_007,signature,mock_perfect,338,234,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_008,raw,mock_perfect,49660,234,0.0,0.048,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_008,json,mock_perfect,347,234,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_008,clustered,mock_perfect,523,234,0.0,0.001,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_008,signature,mock_perfect,364,234,0.0,0.001,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_009,raw,mock_perfect,50165,259,0.0,0.026,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_009,json,mock_perfect,506,259,0.0,0.001,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_009,clustered,mock_perfect,577,259,0.0,0.001,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_009,signature,mock_perfect,487,259,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_010,raw,mock_perfect,50165,464,0.0,0.026,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_010,json,mock_perfect,446,464,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_010,clustered,mock_perfect,757,464,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_010,signature,mock_perfect,378,464,0.0,0.0,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_011,raw,mock_perfect,50165,464,0.0,0.027,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_011,json,mock_perfect,472,464,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_011,clustered,mock_perfect,783,464,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_011,signature,mock_perfect,404,464,0.0,0.0,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_012,raw,mock_perfect,51175,514,0.0,0.022,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_012,json,mock_perfect,756,514,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_012,clustered,mock_perfect,857,514,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_012,signature,mock_perfect,567,514,0.0,0.0,True,10,10,0,10,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_013,raw,mock_perfect,51680,1154,0.0,0.024,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_013,json,mock_perfect,821,1154,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_013,clustered,mock_perfect,1537,1154,0.0,0.002,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_013,signature,mock_perfect,485,1154,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_014,raw,mock_perfect,51680,1154,0.0,0.023,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_014,json,mock_perfect,847,1154,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_014,clustered,mock_perfect,1563,1154,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_014,signature,mock_perfect,511,1154,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_015,raw,mock_perfect,54205,1279,0.0,0.046,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_015,json,mock_perfect,1506,1279,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_015,clustered,mock_perfect,1697,1279,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_015,signature,mock_perfect,782,1279,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_016,raw,mock_perfect,54205,2304,0.0,0.049,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_016,json,mock_perfect,1446,2304,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_016,clustered,mock_perfect,2837,2304,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_016,signature,mock_perfect,485,2304,0.0,0.001,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_017,raw,mock_perfect,54205,2304,0.0,0.024,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_017,json,mock_perfect,1472,2304,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_017,clustered,mock_perfect,2863,2304,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_017,signature,mock_perfect,511,2304,0.0,0.003,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_018,raw,mock_perfect,59255,2554,0.0,0.049,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_018,json,mock_perfect,2756,2554,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_018,clustered,mock_perfect,3097,2554,0.0,0.003,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_018,signature,mock_perfect,782,2554,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_019,raw,mock_perfect,69355,5104,0.0,0.041,True,100,100,0,100,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_019,json,mock_perfect,5256,5104,0.0,0.006,True,100,100,0,100,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_019,clustered,mock_perfect,5897,5104,0.0,0.007,True,100,100,0,100,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_019,signature,mock_perfect,782,5104,0.0,0.006,True,100,100,0,100,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_020,raw,mock_perfect,89555,10204,0.0,0.057,True,200,200,0,200,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_020,json,mock_perfect,10256,10204,0.0,0.013,True,200,200,0,200,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_020,clustered,mock_perfect,11497,10204,0.0,0.015,True,200,200,0,200,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_020,signature,mock_perfect,782,10204,0.0,0.009,True,200,200,0,200,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_021,raw,mock_perfect,252475,51175,0.0,0.243,True,1000,1000,0,1000,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_021,json,mock_perfect,50916,51175,0.0,0.154,True,1000,1000,0,1000,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_021,clustered,mock_perfect,56960,51175,0.0,0.144,True,1000,1000,0,1000,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_021,signature,mock_perfect,831,51175,0.0,0.126,True,1000,1000,0,1000,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_001,raw,mock_perfect,49256,50,0.0,0.024,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_001,json,mock_perfect,221,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_001,clustered,mock_perfect,289,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_001,signature,mock_perfect,306,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_002,raw,mock_perfect,49256,50,0.0,0.021,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_002,json,mock_perfect,247,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_002,clustered,mock_perfect,315,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_space_002,signature,mock_perfect,332,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
