task,representation,model,input_tokens,output_tokens,cost_usd,latency_s,parse_ok,reported,truth,count_error,matched,precision,recall,f1,rule_accuracy,fix_validity
m1_multi_010,signature,mock_one_per_marker,378,354,0.0,0.0,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_011,raw,mock_one_per_marker,50165,354,0.0,0.025,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_011,json,mock_one_per_marker,472,354,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_011,clustered,mock_one_per_marker,783,354,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_011,signature,mock_one_per_marker,404,354,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_012,raw,mock_one_per_marker,51175,704,0.0,0.025,True,20,10,10,10,0.5,1.0,0.6667,0.0,0.0
m1_multi_012,json,mock_one_per_marker,756,704,0.0,0.001,True,20,10,10,10,0.5,1.0,0.6667,0.0,0.0
m1_multi_012,clustered,mock_one_per_marker,857,704,0.0,0.001,True,20,10,10,10,0.5,1.0,0.6667,0.0,0.0
m1_multi_012,signature,mock_one_per_marker,567,704,0.0,0.001,True,20,10,10,10,0.5,1.0,0.6667,0.0,0.0
m1_multi_013,raw,mock_one_per_marker,51680,879,0.0,0.026,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_013,json,mock_one_per_marker,821,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_013,clustered,mock_one_per_marker,1537,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_013,signature,mock_one_per_marker,485,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_014,raw,mock_one_per_marker,51680,879,0.0,0.026,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_014,json,mock_one_per_marker,847,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_014,clustered,mock_one_per_marker,1563,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_014,signature,mock_one_per_marker,511,879,0.0,0.001,True,25,25,0,25,1.0,1.0,1.0,1.0,0.0
m1_multi_015,raw,mock_one_per_marker,54205,1754,0.0,0.03,True,50,25,25,25,0.5,1.0,0.6667,0.0,0.0
m1_multi_015,json,mock_one_per_marker,1506,1754,0.0,0.002,True,50,25,25,25,0.5,1.0,0.6667,0.0,0.0
m1_multi_015,clustered,mock_one_per_marker,1697,1754,0.0,0.002,True,50,25,25,25,0.5,1.0,0.6667,0.0,0.0
m1_multi_015,signature,mock_one_per_marker,782,1754,0.0,0.002,True,50,25,25,25,0.5,1.0,0.6667,0.0,0.0
m1_multi_016,raw,mock_one_per_marker,54205,1754,0.0,0.028,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_016,json,mock_one_per_marker,1446,1754,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_016,clustered,mock_one_per_marker,2837,1754,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_016,signature,mock_one_per_marker,485,1754,0.0,0.001,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_017,raw,mock_one_per_marker,54205,1754,0.0,0.028,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_017,json,mock_one_per_marker,1472,1754,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_017,clustered,mock_one_per_marker,2863,1754,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_017,signature,mock_one_per_marker,511,1754,0.0,0.002,True,50,50,0,50,1.0,1.0,1.0,1.0,0.0
m1_multi_018,raw,mock_one_per_marker,59255,3504,0.0,0.032,True,100,50,50,50,0.5,1.0,0.6667,0.0,0.0
m1_multi_018,json,mock_one_per_marker,2756,3504,0.0,0.003,True,100,50,50,50,0.5,1.0,0.6667,0.0,0.0
m1_multi_018,clustered,mock_one_per_marker,3097,3504,0.0,0.004,True,100,50,50,50,0.5,1.0,0.6667,0.0,0.0
m1_multi_018,signature,mock_one_per_marker,782,3504,0.0,0.003,True,100,50,50,50,0.5,1.0,0.6667,0.0,0.0
m1_multi_019,raw,mock_one_per_marker,69355,7004,0.0,0.038,True,200,100,100,100,0.5,1.0,0.6667,0.0,0.0
m1_multi_019,json,mock_one_per_marker,5256,7004,0.0,0.007,True,200,100,100,100,0.5,1.0,0.6667,0.0,0.0
m1_multi_019,clustered,mock_one_per_marker,5897,7004,0.0,0.007,True,200,100,100,100,0.5,1.0,0.6667,0.0,0.0
m1_multi_019,signature,mock_one_per_marker,782,7004,0.0,0.005,True,200,100,100,100,0.5,1.0,0.6667,0.0,0.0
m1_multi_020,raw,mock_one_per_marker,89555,14004,0.0,0.052,True,400,200,200,200,0.5,1.0,0.6667,0.0,0.0
m1_multi_020,json,mock_one_per_marker,10256,14004,0.0,0.013,True,400,200,200,200,0.5,1.0,0.6667,0.0,0.0
m1_multi_020,clustered,mock_one_per_marker,11497,14004,0.0,0.013,True,400,200,200,200,0.5,1.0,0.6667,0.0,0.0
m1_multi_020,signature,mock_one_per_marker,782,14004,0.0,0.009,True,400,200,200,200,0.5,1.0,0.6667,0.0,0.0
m1_multi_021,raw,mock_one_per_marker,252475,71345,0.0,0.162,True,2000,1000,1000,1000,0.5,1.0,0.6667,0.0,0.0
m1_multi_021,json,mock_one_per_marker,50916,71345,0.0,0.067,True,2000,1000,1000,1000,0.5,1.0,0.6667,0.0,0.0
m1_multi_021,clustered,mock_one_per_marker,56960,71345,0.0,0.068,True,2000,1000,1000,1000,0.5,1.0,0.6667,0.0,0.0
m1_multi_021,signature,mock_one_per_marker,831,71345,0.0,0.042,True,2000,1000,1000,1000,0.5,1.0,0.6667,0.0,0.0
m1_space_001,raw,mock_one_per_marker,49256,39,0.0,0.023,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_001,json,mock_one_per_marker,221,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_001,clustered,mock_one_per_marker,289,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_001,signature,mock_one_per_marker,306,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_002,raw,mock_one_per_marker,49256,39,0.0,0.023,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_002,json,mock_one_per_marker,247,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_002,clustered,mock_one_per_marker,315,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_space_002,signature,mock_one_per_marker,332,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
